timestamp,vehicle_id,speed_kph,engine_temp_c,fuel_used_l,odometer_km,lat,lon
2025-11-06T02:35:10:000Z,V026,102,99,1.36,187533,24.724051,79.631716
2025-11-06T02:52:10:000Z,V016,111,109,2.22,118961,26.50007,71.410504
2025-11-06T09:31:10:000Z,V018,13,65,2.63,202752,23.094698,74.003154
2025-11-06T09:11:10:000Z,V008,3,65,2.26,157251,23.380515,84.669806
2025-11-06T08:48:10:000Z,V020,1,115,1.22,83186,27.828348,74.111815
2025-11-06T01:24:10:000Z,V016,93,83,1.68,142237,20.531463,74.938347
2025-11-06T04:52:10:000Z,V035,87,98,0.15,83760,24.149532,80.01098
2025-11-06T04:14:10:000Z,V033,104,81,1.99,248423,22.694076,79.549176
2025-11-06T09:26:10:000Z,V018,77,104,2.69,116360,25.418718,82.678084
2025-11-06T03:07:10:000Z,V041,117,70,2.52,74886,24.15297,75.573656
2025-11-06T02:57:10:000Z,V019,27,114,0.61,160445,20.01864,77.088122
2025-11-06T06:51:10:000Z,V019,61,95,0.26,79697,26.653697,76.350264
2025-11-06T03:21:10:000Z,V018,113,80,2.24,78020,23.011259,86.684664
2025-11-06T07:39:10:000Z,V043,91,72,1.85,200323,22.458057,73.597188
2025-11-06T02:31:10:000Z,V032,5,119,1.4,72909,26.419399,80.967422
2025-11-06T02:04:10:000Z,V045,46,75,1.49,145803,23.1837,70.096356
2025-11-06T08:35:10:000Z,V041,11,74,0.72,73450,22.031026,72.786151
2025-11-06T06:18:10:000Z,V019,89,106,2.49,38256,25.665684,82.997505
2025-11-06T06:36:10:000Z,V043,38,65,2.88,32839,27.450492,80.485191
2025-11-06T02:56:10:000Z,V036,71,76,0.34,160332,20.164904,77.439203
2025-11-06T03:17:10:000Z,V045,58,109,0.78,203758,27.058066,79.824271
2025-11-06T08:01:10:000Z,V009,89,65,2.42,212333,21.868127,76.17529
2025-11-06T05:59:10:000Z,V009,26,67,2.91,135278,25.214845,83.869897
2025-11-06T01:20:10:000Z,V010,1,74,0.14,186975,23.220934,81.733483
2025-11-06T04:55:10:000Z,V008,70,98,2.28,243359,24.505734,79.294121
2025-11-06T08:57:10:000Z,V018,118,64,1.85,198775,25.618854,77.720322
2025-11-06T01:29:10:000Z,V004,63,73,0.78,77416,21.203413,80.377942
2025-11-06T03:14:10:000Z,V018,35,73,0.43,132796,25.309844,82.045346
2025-11-06T05:31:10:000Z,V002,83,71,1.08,129212,27.711851,73.218534
2025-11-06T02:30:10:000Z,V004,84,101,0.59,103123,27.974026,85.889324
2025-11-06T09:15:10:000Z,V046,53,97,1.38,215675,27.576638,87.895587
2025-11-06T01:22:10:000Z,V032,112,108,0.4,34248,22.649633,81.064236
2025-11-06T08:04:10:000Z,V027,57,116,2.1,178916,22.155635,80.892722
2025-11-06T07:05:10:000Z,V045,117,81,2.31,134378,20.794044,83.268387
2025-11-06T08:45:10:000Z,V037,40,68,1.3,152713,26.354151,73.491673
2025-11-06T08:55:10:000Z,V002,55,93,1.1,25744,25.190693,77.2404
